label,weight,n_classes,n_labels,length,allow_unlabeled,sparse,return_indicator,return_distributions,random_state
3,100,10,0,0, False, True, 'dense', True, 'int'
7,100,5,2,40, False, True, 'dense', False, 'None'
2,100,0,5,52, True, True, 'False', False, 'int'
3,100,5,5,0, False, True, 'dense', True, 'int'
3,100,2,0,0, True, True, 'dense', True, 'None'
3,100,0,10,0, False, False, 'dense', True, 'None'
4,100,10,2,2, True, False, 'dense', False, 'int'
6,100,5,2,50, True, True, 'dense', True, 'int'
3,100,1,10,0, True, True, 'dense', False, 'None'
3,100,0,2,0, False, False, 'dense', True, 'None'
6,100,5,5,50, False, False, 'sparse', True, 'int'
6,100,10,2,50, False, True, 'False', True, 'int'
6,100,0,5,50, True, False, 'sparse', True, 'None'
4,100,2,0,50, True, True, 'False', False, 'None'
5,100,5,2,50, True, True, 'dense', False, 'int'
2,100,0,5,50, True, True, 'False', False, 'None'
7,100,5,5,50, False, True, 'dense', False, 'None'
5,100,5,2,50, True, True, 'dense', False, 'None'
2,100,0,5,50, True, True, 'False', False, 'int'
3,100,5,2,0, True, True, 'dense', True, 'None'
1,100,5,5,52, True, False, 'dense', False, 'int'
3,100,0,0,0, True, True, 'False', True, 'None'
6,100,10,2,50, False, True, 'dense', True, 'int'
3,100,0,2,0, True, True, 'dense', True, 'None'
7,100,2,2,5, True, True, 'False', False, 'None'
2,100,0,5,50, True, False, 'sparse', False, 'int'
6,100,5,1,10, False, True, 'False', True, 'None'
3,100,0,0,0, True, True, 'False', False, 'None'
3,100,0,0,0, True, True, 'dense', False, 'int'
6,100,0,5,50, True, True, 'dense', True, 'int'
7,100,5,11,50, True, True, 'dense', False, 'None'
7,100,2,2,50, True, True, 'False', False, 'None'
3,100,5,0,0, True, True, 'False', True, 'None'